seed,step,return
0,10000,37.1433486734
0,20000,83.0479649669
0,30000,133.4592093832
0,40000,142.6765689418
0,50000,234.2353892643
0,60000,244.9328703387
0,70000,240.3481496456
0,80000,181.3087173542
0,90000,225.0901567582
0,100000,297.6022616341
0,110000,319.4812440907
0,120000,399.697081004
0,130000,473.9658952802
0,140000,405.4405824211
0,150000,472.2145991012
0,160000,530.0926509174
0,170000,452.8102438361
0,180000,509.8147102194
0,190000,645.718699384
0,200000,742.4637031746
0,210000,827.9802510776
0,220000,788.1335919823
0,230000,852.1843779093
0,240000,606.814422965
0,250000,874.5682358434
0,260000,847.8179845521
0,270000,876.715626522
0,280000,915.9882704148
0,290000,936.2415528204
0,300000,966.9155936837
0,310000,798.5377144052
0,320000,916.221467942
0,330000,915.8740530834
0,340000,849.4242346529
0,350000,952.4826354031
0,360000,916.9194411702
0,370000,944.1784177963
0,380000,962.0330780931
0,390000,912.5854382934
0,400000,956.6311426274
0,410000,963.044450222
0,420000,984.2816083431
0,430000,919.8118931202
0,440000,948.3073444311
0,450000,901.6282477601
0,460000,890.2083922174
0,470000,984.5808026642
0,480000,965.9151009209
0,490000,954.9758877265
1,10000,46.4707749132
1,20000,63.2927422405
1,30000,112.0166199539
1,40000,238.4369644448
1,50000,214.7039881434
1,60000,416.3838390033
1,70000,361.6018605904
1,80000,527.7365358744
1,90000,482.1379048454
1,100000,522.7328716051
1,110000,650.4395552757
1,120000,778.843919287
1,130000,644.3114308135
1,140000,745.8004382174
1,150000,877.5118360425
1,160000,947.7344579087
1,170000,946.1944234292
1,180000,813.6070239572
1,190000,884.6412184131
1,200000,787.5514435703
1,210000,939.7441890649
1,220000,963.273389132
1,230000,883.9876960912
1,240000,657.8835591688
1,250000,925.049914117
1,260000,825.4090187447
1,270000,970.8685157257
1,280000,936.0772812567
1,290000,966.5721440499
1,300000,753.7519905278
1,310000,946.9856220101
1,320000,803.3720169889
1,330000,954.4972731932
1,340000,980.5209577531
1,350000,904.4046688983
1,360000,927.4517674819
1,370000,989.1914309412
1,380000,899.1585394191
1,390000,939.2065308065
1,400000,798.2470142029
1,410000,941.0885660257
1,420000,967.492535325
1,430000,943.3859387925
1,440000,980.6442187726
1,450000,973.2677161098
1,460000,955.2302862555
1,470000,975.2539458117
1,480000,941.1356949005
1,490000,939.8730782932
2,10000,51.8059749603
2,20000,125.4195292862
2,30000,104.5242146525
2,40000,347.8253783407
2,50000,447.7948797977
2,60000,442.274716015
2,70000,510.5521899938
2,80000,477.3353996972
2,90000,458.9499455015
2,100000,306.004649289
2,110000,551.0908437915
2,120000,590.8699129215
2,130000,745.1543837137
2,140000,744.0332285254
2,150000,768.7744029255
2,160000,854.8521538379
2,170000,977.5691190362
2,180000,966.5492905909
2,190000,780.0031953147
2,200000,837.3356298171
2,210000,941.2749542743
2,220000,942.8274337659
2,230000,919.3912242209
2,240000,960.0145140523
2,250000,826.8546016857
2,260000,918.2476690412
2,270000,893.1013545962
2,280000,763.0851617283
2,290000,759.9021414066
2,300000,917.5726479273
2,310000,852.298184617
2,320000,970.6880709678
2,330000,924.5061551551
2,340000,920.7877968736
2,350000,947.544502737
2,360000,828.1526215903
2,370000,861.3012199232
2,380000,953.7478136513
2,390000,930.109899753
2,400000,986.1632931828
2,410000,951.6827811967
2,420000,839.295139373
2,430000,955.1307717239
2,440000,967.7895102897
2,450000,961.5543608684
2,460000,987.3762772232
2,470000,950.0777514423
2,480000,987.1602205187
2,490000,735.6291745445
3,10000,40.150773701
3,20000,54.2156817265
3,30000,125.2236983285
3,40000,147.3157754734
3,50000,206.2532652747
3,60000,299.616973049
3,70000,425.3369274291
3,80000,590.5099365423
3,90000,667.8544902746
3,100000,713.5436592977
3,110000,852.4445140703
3,120000,685.787359653
3,130000,863.1001346703
3,140000,944.4729284304
3,150000,951.403548162
3,160000,941.4453039994
3,170000,940.3639002135
3,180000,965.1631878316
3,190000,935.8742798781
3,200000,708.5628939494
3,210000,738.6628530454
3,220000,634.719429715
3,230000,945.1267092052
3,240000,980.7386274785
3,250000,875.2309422516
3,260000,935.9368201829
3,270000,870.8723793393
3,280000,990.9892082065
3,290000,972.1188464761
3,300000,672.7759849373
3,310000,790.8055617446
3,320000,964.208451964
3,330000,945.8489925582
3,340000,837.916972328
3,350000,946.5838054102
3,360000,892.5095832821
3,370000,861.4060124643
3,380000,967.5151981078
3,390000,961.596805675
3,400000,951.216719579
3,410000,987.8125258833
3,420000,971.0432687774
3,430000,907.8854536137
3,440000,904.8372323047
3,450000,960.4599402249
3,460000,902.484970937
3,470000,941.11937402
3,480000,963.7609442919
3,490000,897.8689555842
4,10000,39.544720931
4,20000,116.674062321
4,30000,194.9574088764
4,40000,209.1081095771
4,50000,343.0858950098
4,60000,410.4291947815
4,70000,402.2154781187
4,80000,357.8557873131
4,90000,570.8635817296
4,100000,536.2084970754
4,110000,621.617082767
4,120000,579.4402367542
4,130000,250.8580613853
4,140000,653.5435908316
4,150000,622.1616028396
4,160000,675.0710627204
4,170000,666.7792858565
4,180000,657.7332428433
4,190000,830.1015947883
4,200000,921.5342741376
4,210000,834.5662773331
4,220000,986.5137862265
4,230000,900.7003801102
4,240000,979.9476594925
4,250000,945.8122107913
4,260000,901.0354715216
