actor,con,con_abs_error,con_jax,dyn,dyn_abs_error,dyn_jax,env_step,eval_return,implementation,jax_curve_step,jax_loss_step,jax_return_max,jax_return_mean,jax_return_min,kl,policy,policy_abs_error,policy_jax,reco,reco_abs_error,reco_jax,rep,rep_abs_error,rep_jax,repval,repval_abs_error,repval_jax,return_abs_error,return_in_jax_band,reward,reward_abs_error,reward_jax,run,value,value_abs_error,value_jax
,0.6488,0.3148,0.334,8.449,3.4437999999999995,5.0052,1024,22.23,torchrl-parity,,2832,,,,9.294,-0.0,0.0729,0.0729,35.441,11.897700000000004,23.5433,8.449,3.4437999999999995,5.0052,11.082,1.3142000000000014,9.7678,,,5.541,0.7536000000000005,4.7874,a100_parity_contdisc_seed0_51200,0.824,3.1946000000000003,4.0186
,0.0205,0.0,0.0205,6.142,0.05150000000000077,6.0905,11024,65.65,torchrl-parity,10000,11120,51.8059749603,43.023118635779994,37.1433486734,6.757,2.093,0.6611,1.4319,2.15,0.29090000000000016,2.4409,6.142,0.05150000000000077,6.0905,1.688,0.12039999999999984,1.5676,22.62688136422001,False,0.555,0.051000000000000045,0.504,a100_parity_contdisc_seed0_51200,1.273,0.09229999999999983,1.1807
,0.0204,0.0,0.0204,5.836,0.20040000000000013,5.6356,21024,63.39,torchrl-parity,20000,19408,125.4195292862,88.52999610821999,54.2156817265,6.419,-0.902,0.2288,-0.6732,1.666,0.33630000000000004,2.0023,5.836,0.20040000000000013,5.6356,0.864,0.245,1.109,25.13999610821999,True,0.581,0.05130000000000001,0.5297,a100_parity_contdisc_seed0_51200,0.99,0.12959999999999994,1.1196
,0.0204,0.0,0.0204,6.361,0.7253999999999996,5.6356,31024,202.9,torchrl-parity,30000,19408,194.9574088764,134.0362302389,104.5242146525,6.997,-0.9,0.2268,-0.6732,1.504,0.49829999999999997,2.0023,6.361,0.7253999999999996,5.6356,0.755,0.354,1.109,68.8637697611,False,0.592,0.06230000000000002,0.5297,a100_parity_contdisc_seed0_51200,0.381,0.7385999999999999,1.1196
,0.0204,0.0,0.0204,5.812,0.1764000000000001,5.6356,41024,198.62,torchrl-parity,40000,19408,347.8253783407,217.07255935556,142.6765689418,6.393,-0.198,0.4752,-0.6732,1.085,0.9173,2.0023,5.812,0.1764000000000001,5.6356,0.74,0.369,1.109,18.45255935556,True,0.589,0.05930000000000002,0.5297,a100_parity_contdisc_seed0_51200,0.38,0.7395999999999999,1.1196
,0.0204,0.0,0.0204,6.531,0.8953999999999995,5.6356,51024,121.02,torchrl-parity,50000,19408,447.7948797977,289.21468349798,206.2532652747,7.185,-0.135,0.5382,-0.6732,1.364,0.6382999999999999,2.0023,6.531,0.8953999999999995,5.6356,0.966,0.14300000000000002,1.109,168.19468349798,False,0.604,0.07430000000000003,0.5297,a100_parity_contdisc_seed0_51200,1.072,0.047599999999999865,1.1196
0.235,,,,,,,8192,22.12,torchrl-main-control,,,,,,1.002,,,,1.342,,,,,,,,,,,1.706,,,a100_baseline_seed0_51200,,,
45822384.0,,,,,,,18192,10.41,torchrl-main-control,20000,,125.4195292862,88.52999610821999,54.2156817265,1.002,,,,0.107,,,,,,,,,78.11999610822,False,0.141,,,a100_baseline_seed0_51200,,,
132801704.0,,,,,,,28192,27.22,torchrl-main-control,30000,,194.9574088764,134.0362302389,104.5242146525,1.002,,,,0.087,,,,,,,,,106.8162302389,False,0.173,,,a100_baseline_seed0_51200,,,
-292584832.0,,,,,,,38192,26.97,torchrl-main-control,40000,,347.8253783407,217.07255935556,142.6765689418,1.002,,,,0.062,,,,,,,,,190.10255935556,False,0.153,,,a100_baseline_seed0_51200,,,
-91286224.0,,,,,,,48192,27.96,torchrl-main-control,50000,,447.7948797977,289.21468349798,206.2532652747,1.002,,,,0.054,,,,,,,,,261.25468349798,False,0.139,,,a100_baseline_seed0_51200,,,
