env_step,implementation,jax_max,jax_mean,jax_min,jax_step,max,mean,median,median_abs_error,min,n,seeds_in_jax_band
8192,torchrl-main-control,,,,,22.12,22.12,22.12,,22.12,1,
18192,torchrl-main-control,125.4195292862,88.52999610821999,54.2156817265,20000,10.41,10.41,10.41,78.11999610822,10.41,1,0
28192,torchrl-main-control,194.9574088764,134.0362302389,104.5242146525,30000,27.22,27.22,27.22,106.8162302389,27.22,1,0
38192,torchrl-main-control,347.8253783407,217.07255935556,142.6765689418,40000,26.97,26.97,26.97,190.10255935556,26.97,1,0
48192,torchrl-main-control,447.7948797977,289.21468349798,206.2532652747,50000,27.96,27.96,27.96,261.25468349798,27.96,1,0
1024,torchrl-parity,,,,,22.23,22.23,22.23,,22.23,1,
11024,torchrl-parity,51.8059749603,43.023118635779994,37.1433486734,10000,65.65,65.65,65.65,22.62688136422001,65.65,1,0
21024,torchrl-parity,125.4195292862,88.52999610821999,54.2156817265,20000,63.39,63.39,63.39,25.13999610821999,63.39,1,1
31024,torchrl-parity,194.9574088764,134.0362302389,104.5242146525,30000,202.9,202.9,202.9,68.8637697611,202.9,1,0
41024,torchrl-parity,347.8253783407,217.07255935556,142.6765689418,40000,198.62,198.62,198.62,18.45255935556,198.62,1,1
51024,torchrl-parity,447.7948797977,289.21468349798,206.2532652747,50000,121.02,121.02,121.02,168.19468349798,121.02,1,0
1024,torchrl-v3off,,,,,10.65,10.65,10.65,,10.65,1,
11024,torchrl-v3off,51.8059749603,43.023118635779994,37.1433486734,10000,22.65,22.65,22.65,20.373118635779996,22.65,1,0
21024,torchrl-v3off,125.4195292862,88.52999610821999,54.2156817265,20000,4.4,4.4,4.4,84.12999610821998,4.4,1,0
31024,torchrl-v3off,194.9574088764,134.0362302389,104.5242146525,30000,5.28,5.28,5.28,128.7562302389,5.28,1,0
41024,torchrl-v3off,347.8253783407,217.07255935556,142.6765689418,40000,4.47,4.47,4.47,212.60255935556,4.47,1,0
51024,torchrl-v3off,447.7948797977,289.21468349798,206.2532652747,50000,22.38,22.38,22.38,266.83468349798,22.38,1,0
