actor,con,con_abs_error,con_jax,dyn,dyn_abs_error,dyn_jax,env_step,eval_return,implementation,jax_curve_step,jax_loss_step,jax_return_max,jax_return_mean,jax_return_min,kl,policy,policy_abs_error,policy_jax,reco,reco_abs_error,reco_jax,rep,rep_abs_error,rep_jax,repval,repval_abs_error,repval_jax,return_abs_error,return_in_jax_band,reward,reward_abs_error,reward_jax,run,value,value_abs_error,value_jax
,0.3534,0.06549016954526304,0.28790983045473695,6.875,2.532205169630605,4.342794830369395,1024,15.47,torchrl-parity,,2736,,,,7.562,-0.0,0.022637919765614686,0.022637919765614686,38.921,13.348800669004532,25.572199330995467,6.875,2.532205169630605,4.342794830369395,11.082,1.034422553023628,10.047577446976373,,,5.541,0.5734913800455805,4.96750861995442,a100_parity_contdisc_seed7_10240,1.813,2.401565424811702,4.214565424811702
,0.0243,0.26360983045473696,0.28790983045473695,5.393,1.0502051696306047,4.342794830369395,2048,13.79,torchrl-parity,,2736,,,,5.932,0.95,0.9273620802343853,0.022637919765614686,8.824,16.74819933099547,25.572199330995467,5.393,1.0502051696306047,4.342794830369395,5.187,4.8605774469763725,10.047577446976373,,,1.899,3.06850861995442,4.96750861995442,a100_parity_contdisc_seed7_10240,3.653,0.5615654248117017,4.214565424811702
,0.0209,0.267009830454737,0.28790983045473695,7.011,2.668205169630605,4.342794830369395,3072,41.68,torchrl-parity,,2736,,,,7.712,1.519,1.4963620802343853,0.022637919765614686,4.495,21.077199330995466,25.572199330995467,7.011,2.668205169630605,4.342794830369395,4.414,5.633577446976373,10.047577446976373,,,0.617,4.35050861995442,4.96750861995442,a100_parity_contdisc_seed7_10240,2.152,2.0625654248117016,4.214565424811702
,0.0205,0.002822244486983188,0.02332224448698319,6.722,0.4621286417787731,6.259871358221227,4096,41.59,torchrl-parity,,3792,,,,7.394,1.521,0.20042220699324287,1.320577793006757,3.144,5.812160642742883,8.956160642742883,6.722,0.4621286417787731,6.259871358221227,3.534,1.7505404292597921,5.284540429259792,,,0.511,1.1088696797205642,1.6198696797205643,a100_parity_contdisc_seed7_10240,1.756,1.8206366078998102,3.57663660789981
,0.0205,0.00025738924957642573,0.020757389249576427,6.805,0.4563390787984387,7.261339078798438,5120,10.1,torchrl-parity,,4848,,,,7.486,1.227,0.49978651186552914,1.7267865118655292,2.951,1.4081781200648806,4.359178120064881,6.805,0.4563390787984387,7.261339078798438,3.258,0.7441625079891896,4.00216250798919,,,0.523,0.08523678987270045,0.6082367898727005,a100_parity_contdisc_seed7_10240,1.586,0.4886305193187612,2.0746305193187613
,0.0205,8.454810713346209e-05,0.020584548107133463,6.589,0.2898736535952633,6.878873653595264,6144,27.87,torchrl-parity,,5888,,,,7.248,1.392,0.13826881756690845,1.5302688175669084,2.559,0.965902908608335,3.524902908608335,6.589,0.2898736535952633,6.878873653595264,2.6,0.6176247874131571,3.217624787413157,,,0.429,0.11850813804566857,0.5475081380456686,a100_parity_contdisc_seed7_10240,1.441,0.1890062859287629,1.630006285928763
,0.0205,3.6032428320210974e-05,0.020536032428320212,7.13,0.5265587849800406,6.603441215019959,7168,38.62,torchrl-parity,,6928,,,,7.842,1.414,0.1464897730625594,1.5604897730625593,2.609,0.44732584428754985,3.05632584428755,7.13,0.5265587849800406,6.603441215019959,2.106,0.6813422191693235,2.7873422191693233,,,0.454,0.06753183419543957,0.5215318341954396,a100_parity_contdisc_seed7_10240,1.183,0.2925354020458,1.4755354020458
,0.0205,1.5486774401680253e-05,0.02051548677440168,7.348,0.9328334490349794,6.41516655096502,8192,146.11,torchrl-parity,,7984,,,,8.083,1.724,0.15767567918065817,1.5663243208193418,2.703,0.10972634873731169,2.8127263487373115,7.348,0.9328334490349794,6.41516655096502,2.155,0.17936267800403405,2.334362678004034,,,0.513,0.006651221873182234,0.5063487781268178,a100_parity_contdisc_seed7_10240,1.203,0.173631763961279,1.376631763961279
,0.0205,4.436042837122761e-06,0.020495563957162878,7.202,0.7923510622905958,6.409648937709404,9216,213.15,torchrl-parity,,9040,,,,7.922,2.011,0.6185452660972424,1.3924547339027578,2.806,0.09577315936627384,2.710226840633726,7.202,0.7923510622905958,6.409648937709404,2.431,0.3916282516862406,2.0393717483137594,,,0.556,0.06051644495919806,0.495483555040802,a100_parity_contdisc_seed7_10240,1.542,0.29169124489209874,1.2503087551079013
,0.0205,2.144519799868877e-05,0.020478554802001312,7.34,1.0583497977076153,6.281650202292385,10240,104.93,torchrl-parity,10000,10096,51.8059749603,43.023118635779994,37.1433486734,8.073,1.211,0.2706095356011029,1.481609535601103,2.589,0.057203683891199564,2.6462036838911995,7.34,1.0583497977076153,6.281650202292385,1.873,0.0374320694560355,1.8355679305439645,61.90688136422001,False,0.538,0.03608069374976741,0.5019193062502326,a100_parity_contdisc_seed7_10240,1.41,0.2172849233267884,1.1927150766732115
-10.036,,,,,,,8192,22.63,torchrl-main-control,,,,,,1.0,,,,1.332,,,,,,,,,,,1.817,,,a100_baseline_seed7_10240,,,
-7.728,,,,,,,9216,52.59,torchrl-main-control,,,,,,1.004,,,,0.388,,,,,,,,,,,0.218,,,a100_baseline_seed7_10240,,,
-2.176,,,,,,,10240,34.61,torchrl-main-control,10000,,51.8059749603,43.023118635779994,37.1433486734,1.003,,,,0.232,,,,,,,,,8.413118635779995,False,0.211,,,a100_baseline_seed7_10240,,,
