actor,con,con_abs_error,con_jax,dyn,dyn_abs_error,dyn_jax,env_step,eval_return,implementation,jax_curve_step,jax_loss_step,jax_return_max,jax_return_mean,jax_return_min,kl,policy,policy_abs_error,policy_jax,reco,reco_abs_error,reco_jax,rep,rep_abs_error,rep_jax,repval,repval_abs_error,repval_jax,return_abs_error,return_in_jax_band,reward,reward_abs_error,reward_jax,run,value,value_abs_error,value_jax
,0.6483,0.36039016954526304,0.28790983045473695,8.449,4.106205169630605,4.342794830369395,1024,22.23,torchrl-parity,,2736,,,,9.294,-0.0,0.022637919765614686,0.022637919765614686,35.441,9.868800669004536,25.572199330995467,8.449,4.106205169630605,4.342794830369395,11.082,1.034422553023628,10.047577446976373,,,5.541,0.5734913800455805,4.96750861995442,a100_parity_compiled_seed0_10240,0.821,3.393565424811702,4.214565424811702
,0.008,0.27990983045473694,0.28790983045473695,5.679,1.3362051696306052,4.342794830369395,2048,23.84,torchrl-parity,,2736,,,,6.247,1.006,0.9833620802343853,0.022637919765614686,8.303,17.269199330995466,25.572199330995467,5.679,1.3362051696306052,4.342794830369395,5.297,4.750577446976373,10.047577446976373,,,1.899,3.06850861995442,4.96750861995442,a100_parity_compiled_seed0_10240,3.5,0.7145654248117017,4.214565424811702
,0.0031,0.28480983045473696,0.28790983045473695,7.215,2.872205169630605,4.342794830369395,3072,9.57,torchrl-parity,,2736,,,,7.936,1.507,1.4843620802343853,0.022637919765614686,4.688,20.884199330995468,25.572199330995467,7.215,2.872205169630605,4.342794830369395,4.276,5.771577446976373,10.047577446976373,,,0.638,4.32950861995442,4.96750861995442,a100_parity_compiled_seed0_10240,1.933,2.281565424811702,4.214565424811702
,0.0017,0.02162224448698319,0.02332224448698319,6.664,0.4041286417787724,6.259871358221227,4096,10.26,torchrl-parity,,3792,,,,7.33,1.537,0.21642220699324288,1.320577793006757,3.158,5.798160642742884,8.956160642742883,6.664,0.4041286417787724,6.259871358221227,4.141,1.143540429259792,5.284540429259792,,,0.623,0.9968696797205643,1.6198696797205643,a100_parity_compiled_seed0_10240,1.816,1.7606366078998101,3.57663660789981
,0.001,0.019757389249576426,0.020757389249576427,6.678,0.5833390787984385,7.261339078798438,5120,9.84,torchrl-parity,,4848,,,,7.346,1.486,0.24078651186552924,1.7267865118655292,3.328,1.0311781200648809,4.359178120064881,6.678,0.5833390787984385,7.261339078798438,3.265,0.7371625079891895,4.00216250798919,,,0.536,0.07223678987270044,0.6082367898727005,a100_parity_compiled_seed0_10240,1.518,0.5566305193187613,2.0746305193187613
,0.0006,0.019984548107133463,0.020584548107133463,6.587,0.29187365359526396,6.878873653595264,6144,28.53,torchrl-parity,,5888,,,,7.245,1.415,0.11526881756690832,1.5302688175669084,2.602,0.9229029086083353,3.524902908608335,6.587,0.29187365359526396,6.878873653595264,2.261,0.956624787413157,3.217624787413157,,,0.508,0.03950813804566855,0.5475081380456686,a100_parity_compiled_seed0_10240,1.178,0.452006285928763,1.630006285928763
,0.0003,0.02023603242832021,0.020536032428320212,6.892,0.28855878498004106,6.603441215019959,7168,30.71,torchrl-parity,,6928,,,,7.581,1.287,0.2734897730625594,1.5604897730625593,2.858,0.19832584428754974,3.05632584428755,6.892,0.28855878498004106,6.603441215019959,2.683,0.10434221916932351,2.7873422191693233,,,0.582,0.06046816580456038,0.5215318341954396,a100_parity_compiled_seed0_10240,1.47,0.005535402045800053,1.4755354020458
,0.0002,0.020315486774401682,0.02051548677440168,7.047,0.6318334490349793,6.41516655096502,8192,22.87,torchrl-parity,,7984,,,,7.751,1.84,0.27367567918065827,1.5663243208193418,2.582,0.23072634873731168,2.8127263487373115,7.047,0.6318334490349793,6.41516655096502,1.916,0.4183626780040339,2.334362678004034,,,0.51,0.003651221873182231,0.5063487781268178,a100_parity_compiled_seed0_10240,1.085,0.2916317639612791,1.376631763961279
,0.0001,0.02039556395716288,0.020495563957162878,6.663,0.2533510622905961,6.409648937709404,9216,46.68,torchrl-parity,,9040,,,,7.33,1.473,0.08054526609724233,1.3924547339027578,2.41,0.30022684063372607,2.710226840633726,6.663,0.2533510622905961,6.409648937709404,1.653,0.3863717483137594,2.0393717483137594,,,0.513,0.01751644495919802,0.495483555040802,a100_parity_compiled_seed0_10240,1.101,0.14930875510790131,1.2503087551079013
,0.0001,0.020378554802001313,0.020478554802001312,6.272,0.009650202292384336,6.281650202292385,10240,45.57,torchrl-parity,10000,10096,51.8059749603,43.023118635779994,37.1433486734,6.899,1.134,0.3476095356011031,1.481609535601103,2.281,0.3652036838911994,2.6462036838911995,6.272,0.009650202292384336,6.281650202292385,1.774,0.06156793054396448,1.8355679305439645,2.546881364220006,True,0.553,0.051080693749767425,0.5019193062502326,a100_parity_compiled_seed0_10240,1.204,0.011284923326788432,1.1927150766732115
