env_step,implementation,jax_max,jax_mean,jax_min,jax_step,max,mean,median,median_abs_error,min,n,seeds_in_jax_band
8192,torchrl-main-control,,,,,22.63,18.173333333333332,22.12,,9.77,3,
9216,torchrl-main-control,,,,,52.59,31.046666666666667,22.74,,17.81,3,
10240,torchrl-main-control,51.8059749603,43.023118635779994,37.1433486734,10000,34.61,26.493333333333332,34.32,8.703118635779994,10.55,3,0
1024,torchrl-parity,,,,,22.23,18.946666666666665,19.15,,15.46,3,
2048,torchrl-parity,,,,,23.84,15.753333333333334,13.7,,9.72,3,
3072,torchrl-parity,,,,,41.74,24.726666666666667,22.87,,9.57,3,
4096,torchrl-parity,,,,,41.85,20.696666666666665,10.26,,9.98,3,
5120,torchrl-parity,,,,,21.37,13.85,10.34,,9.84,3,
6144,torchrl-parity,,,,,28.53,25.16,24.0,,22.95,3,
7168,torchrl-parity,,,,,30.71,24.846666666666668,27.05,,16.78,3,
8192,torchrl-parity,,,,,55.81,33.75,22.87,,22.57,3,
9216,torchrl-parity,,,,,69.97,54.71666666666667,47.5,,46.68,3,
10240,torchrl-parity,51.8059749603,43.023118635779994,37.1433486734,10000,130.36,75.07666666666667,49.3,6.276881364220003,45.57,3,2
