step,mean,min,max,n
10000,43.023118635779994,37.1433486734,51.8059749603,5
20000,88.52999610821999,54.2156817265,125.4195292862,5
30000,134.0362302389,104.5242146525,194.9574088764,5
40000,217.07255935556,142.6765689418,347.8253783407,5
50000,289.21468349798,206.2532652747,447.7948797977,5
60000,362.7275186375,244.9328703387,442.274716015,5
70000,388.01092115552,240.3481496456,510.5521899938,5
80000,426.94927535624004,181.3087173542,590.5099365423,5
90000,480.97921582186,225.0901567582,667.8544902746,5
100000,475.21838778025995,297.6022616341,713.5436592977,5
110000,599.01464799904,319.4812440907,852.4445140703,5
120000,606.92770192394,399.697081004,778.843919287,5
130000,595.4779811726,250.8580613853,863.1001346703,5
140000,698.65815368518,405.4405824211,944.4729284304,5
150000,738.4131978141601,472.2145991012,951.403548162,5
160000,789.83912587676,530.0926509174,947.7344579087,5
170000,796.7433944743,452.8102438361,977.5691190362,5
180000,782.5734910884801,509.8147102194,966.5492905909,5
190000,815.2677975556401,645.718699384,935.8742798781,5
200000,799.4895889298,708.5628939494,921.5342741376,5
210000,856.4457049590599,738.6628530454,941.2749542743,5
220000,863.0935261643401,634.719429715,986.5137862265,5
230000,900.27807750736,852.1843779093,945.1267092052,5
240000,837.0797566314201,606.814422965,980.7386274785,5
250000,889.5031809378,826.8546016857,945.8122107913,5
260000,885.6893928084999,825.4090187447,935.9368201829,5
270000,909.3964690434801,870.8723793393,970.8685157257,5
280000,914.02717478672,763.0851617283,990.9892082065,5
290000,918.7356221126599,759.9021414066,972.1188464761,5
300000,844.4337219739,672.7759849373,966.9155936837,5
310000,856.93017851062,790.8055617446,946.9856220101,5
320000,914.4138245,803.3720169889,970.6880709678,5
330000,935.88965908168,915.8740530834,954.4972731932,5
340000,908.4668752759601,837.916972328,980.5209577531,5
350000,942.94925300246,904.4046688983,963.7306525637,5
360000,877.79858512668,823.9595121089,927.4517674819,5
370000,923.3444400799001,861.3012199232,989.1914309412,5
380000,937.51946218874,899.1585394191,967.5151981078,5
390000,930.49308281348,908.9667395395,961.596805675,5
400000,931.82298355358,798.2470142029,986.1632931828,5
410000,902.37296615996,668.2365074721,987.8125258833,5
420000,939.28832101968,839.295139373,984.2816083431,5
430000,934.79120618248,907.8854536137,955.1307717239,5
440000,945.2531479367001,904.8372323047,980.6442187726,5
450000,953.9774897772601,901.6282477601,973.2677161098,5
460000,942.73432099114,890.2083922174,987.3762772232,5
470000,956.4580780316201,931.2585162199,984.5808026642,5
480000,969.8309655573,941.1356949005,991.1828671545,5
490000,880.9660773292201,735.6291745445,954.9758877265,5
