env_step,dyn,rep,rew,con,policy,value,repval,recon_sum
2832,5.0052,5.0052,4.7874,0.334,0.0729,4.0186,9.7678,23.5433
4016,6.3987,6.3987,1.2823,0.0244,1.429,3.0014,4.9083,7.0592
5200,7.0196,7.0196,0.6,0.0211,1.5561,1.881,3.7904,4.0853
6384,6.7601,6.7601,0.5415,0.0206,1.4314,1.5765,3.0326,3.2898
7568,6.5311,6.5311,0.5108,0.0205,1.5855,1.3953,2.4874,2.9017
8752,6.332,6.332,0.5001,0.0205,1.6914,1.3339,2.1063,2.7106
9936,6.2063,6.2063,0.5024,0.0205,1.4874,1.1916,1.7342,2.5728
11120,6.0905,6.0905,0.504,0.0205,1.4319,1.1807,1.5676,2.4409
12304,5.885,5.885,0.5097,0.0205,1.2397,1.2463,1.5099,2.3362
13488,5.6097,5.6097,0.5162,0.0205,0.5914,1.2095,1.3761,2.2122
14672,5.4359,5.4359,0.5168,0.0204,-0.0737,1.0646,1.1411,2.0864
15856,5.4267,5.4267,0.5162,0.0204,-0.5798,0.9928,1.1021,2.0072
17040,5.4661,5.4661,0.5204,0.0204,-0.5022,0.9149,0.917,1.986
18224,5.5932,5.5932,0.5258,0.0204,-0.5939,0.8786,1.0168,2.0337
19408,5.6356,5.6356,0.5297,0.0204,-0.6732,1.1196,1.109,2.0023
