mode,step,eval_reward,kl
fixed,600,-1354.72,1.98
fixed,2600,-1521.93,2.583
fixed,4600,-1590.93,3.994
fixed,6600,-1401.71,3.82
fixed,8600,-1445.78,2.955
fixed,10600,-1373.63,4.49
fixed,12600,-1526.2,2.907
fixed,14600,-592.75,2.893
fixed,16600,-95.28,3.734
fixed,18600,-394.07,3.07
fixed,20600,-129.77,3.328
fixed,22600,-86.16,3.043
fixed,24600,-132.93,2.867
fixed,26600,-124.26,2.52
fixed,28600,-206.09,2.245
fixed,30600,-211.55,2.413
fixed,32600,-159.61,2.462
fixed,34600,-170.75,2.015
fixed,36600,-460.69,2.107
fixed,38600,-301.32,2.569
fixed,40600,-123.09,2.586
fixed,42600,-580.6,3.424
fixed,44600,-204.3,1.922
fixed,46600,-166.67,2.41
fixed,48600,-251.86,2.247
buggy,600,-1389.09,1.1
buggy,2600,-1589.68,1.1
buggy,4600,-1588.38,1.103
buggy,6600,-1186.27,1.106
buggy,8600,-1612.87,1.106
buggy,10600,-1436.26,1.112
buggy,12600,-1557.06,1.109
buggy,14600,-1060.96,1.108
buggy,16600,-1076.67,1.111
buggy,18600,-1379.48,1.11
buggy,20600,-1655.81,1.109
buggy,22600,-1433.92,1.108
buggy,24600,-1400.08,1.108
buggy,26600,-1498.65,1.109
buggy,28600,-1525.51,1.109
buggy,30600,-1371.66,1.104
buggy,32600,-1342.9,1.108
buggy,34600,-1377.95,1.105
buggy,36600,-1527.15,1.108
buggy,38600,-1218.55,1.111
buggy,40600,-1421.37,1.104
buggy,42600,-1389.73,1.103
buggy,44600,-1545.51,1.102
buggy,46600,-1382.04,1.103
buggy,48600,-1357.3,1.11
